Date,Open,High,Low,Close,Volume
9/30/2024,118.31,121.5,118.15,121.44,227053703
9/27/2024,123.97,124.03,119.26,121.4,271009219
9/26/2024,126.8,127.67,121.8,124.04,302582906
9/25/2024,122.02,124.94,121.61,123.51,284692906
9/24/2024,116.52,121.8,115.38,120.87,354966781
9/23/2024,116.55,116.99,114.86,116.26,206228500
9/20/2024,117.06,118.62,115.39,116,382462406
9/19/2024,117.35,119.66,117.25,117.87,293506406
9/18/2024,115.89,117.7,113.22,113.37,310318906
9/17/2024,118.17,118.8,114.83,115.59,231925906
9/16/2024,116.79,118.18,114.36,116.78,248772297
9/13/2024,119.08,119.96,117.6,119.1,238358297
9/12/2024,116.84,120.79,115.38,119.14,367100500
9/11/2024,109.39,117.19,107.42,116.91,441422406
9/10/2024,107.81,109.4,104.95,108.1,268283688
9/9/2024,104.88,106.55,103.69,106.47,273912000
9/6/2024,108.04,108.15,100.95,102.83,413638125
9/5/2024,104.99,109.65,104.76,107.21,306850688
9/4/2024,105.41,113.27,104.12,106.21,372470312
9/3/2024,116.01,116.21,107.29,108,474972000
